case_id,domain,translator,source_lang,target_lang,source_text,reference_translation,translated_text,bleu,semantic_similarity,tone_score,error_category,pass_fail
11,poetry,GoogleTranslateUI,arabic,english,قلبي يحدثني بأنك متلفي، روحي فداك عرفت أم لم تعلمِ.,My heart tells me that you will ruin me; my soul is yours whether you know it or not.,"My heart tells me that you are my soul, may my soul be sacrificed for you, whether you know it or not.",0.45298528719709075,0.8522138595581055,1.0,other,fail
12,poetry,GoogleTranslateUI,arabic,english,سافرت فيكِ ولم أبرح مكاني.,I traveled within you without ever leaving my place.,I traveled with you and did not leave my place.,0.08516138411042476,0.830265998840332,1.0,tone_mismatch,fail
13,travel,GoogleTranslateUI,arabic,english,أين بوابة رحلة الخطوط القطرية المتجهة إلى الدوحة؟,Where is the gate for the Qatar Airways flight to Doha?,Where is the gateway for the Qatar Airways flight to Doha?,0.7016879391277372,0.9553385972976685,1.0,no_major_error,pass
14,travel,GoogleTranslateUI,arabic,english,ما هو رقم السير لالتقاط الحقائب؟,What is the baggage claim carousel number?,What is the walking number for baggage pickup?,0.17739111163122614,0.7098079323768616,1.0,tone_mismatch,fail
15,travel,GoogleTranslateUI,arabic,english,رحلتي تأخرت، كيف يمكنني إعادة حجزها على رحلة أخرى؟,My flight is delayed; how can I rebook it on another flight?,"My flight was delayed, how can I rebook it on another flight?",0.670422683816333,0.988739013671875,1.0,no_major_error,pass
16,travel,GoogleTranslateUI,arabic,english,هل يوجد قطار مباشر من المطار إلى وسط المدينة؟,Is there a direct train from the airport to the city center?,Is there a direct train from the airport to the city center?,1.0,0.9999998807907104,1.0,no_major_error,pass
1,restaurant,DeepLUI,arabic,english,أريد حجز طاولة لشخصين الساعة الثامنة مساءً.,I would like to reserve a table for two at 8 pm.,I would like to reserve a table for two at 8 p.m.,0.9036020036098448,0.9922748804092407,1.0,no_major_error,pass
2,restaurant,DeepLUI,arabic,english,هل يمكنني رؤية قائمة الطعام من فضلك؟,"May I see the menu, please?",I would like to reserve a table for two at 8 p.m.,0.020044994979069072,0.3107515573501587,1.0,literal_mistranslation,fail
3,restaurant,DeepLUI,arabic,english,أعاني من حساسية تجاه المكسرات، هل يوجد طبق خالٍ منها؟,I am allergic to nuts; is there a dish without them?,I have a nut allergy. Are there any dishes that don't contain nuts?,0.024642660404143705,0.9235368967056274,1.0,other,fail
4,restaurant,DeepLUI,arabic,english,نود تقسيم الفاتورة بالتساوي بيننا.,We would like to split the bill evenly between us.,I have a nut allergy. Are there any dishes that don't contain nuts?,0.0,-0.006598560139536858,1.0,literal_mistranslation,fail
5,academic,DeepLUI,arabic,english,تشير هذه الدراسة إلى أن استخدام النماذج اللغوية يحسن جودة الترجمة الآلية.,This study indicates that using language models improves the quality of machine translation.,This study indicates that the use of linguistic models improves the quality of machine translation.,0.5702822264405542,0.9861884713172913,1.0,no_major_error,pass
6,academic,DeepLUI,arabic,english,تؤكد النتائج أهمية جمع بيانات متنوعة لتدريب الأنظمة الذكية.,The results emphasize the importance of collecting diverse data to train intelligent systems.,This study indicates that the use of linguistic models improves the quality of machine translation.,0.019730657693620934,0.32465729117393494,1.0,literal_mistranslation,fail
7,academic,DeepLUI,arabic,english,يهدف هذا البحث إلى تحليل تأثير الخوارزميات الحديثة على دقة التنبؤ.,This research aims to analyze the impact of modern algorithms on prediction accuracy.,This research aims to analyze the impact of modern algorithms on prediction accuracy.,1.0,1.0000001192092896,1.0,no_major_error,pass
8,academic,DeepLUI,arabic,english,تتطلب المنهجية المقترحة موارد حوسبة عالية لكنها توفر نتائج أكثر استقراراً.,The proposed methodology requires high computing resources but provides more stable results.,This research aims to analyze the impact of modern algorithms on prediction accuracy.,0.0,0.4863835871219635,1.0,lost_cultural_meaning,fail
9,poetry,DeepLUI,arabic,english,يا ليلُ الصبُّ متى غده؟ أقيامُ الساعةِ موعدُه؟,"O night of the longing lover, when will his dawn come? Is the Day of Judgment his appointed time?","O night of youth, when will tomorrow come? Is the hour of dawn its appointed time?",0.14414882721090455,0.7526212334632874,1.0,tone_mismatch,fail
10,poetry,DeepLUI,arabic,english,أحنّ إلى خبز أمي وقهوة أمي ولمسة أمي.,"I long for my mother's bread, my mother's coffee, and my mother's touch.","O night of youth, when will tomorrow come? Is the hour of dawn its appointed time?",0.0,0.17041200399398804,1.0,literal_mistranslation,fail
11,poetry,DeepLUI,arabic,english,قلبي يحدثني بأنك متلفي، روحي فداك عرفت أم لم تعلمِ.,My heart tells me that you will ruin me; my soul is yours whether you know it or not.,"My heart tells me that you are my ruin, my soul knows it, whether you realize it or not.",0.3706128964618466,0.8958172798156738,1.0,other,fail
12,poetry,DeepLUI,arabic,english,سافرت فيكِ ولم أبرح مكاني.,I traveled within you without ever leaving my place.,"My heart tells me that you are my ruin, my soul knows it, whether you realize it or not.",0.01618408566040857,0.15375864505767822,1.0,literal_mistranslation,fail
13,travel,DeepLUI,arabic,english,أين بوابة رحلة الخطوط القطرية المتجهة إلى الدوحة؟,Where is the gate for the Qatar Airways flight to Doha?,Where is the gate for Qatar Airways flights to Doha?,0.45561621331146857,0.990323543548584,1.0,other,fail
14,travel,DeepLUI,arabic,english,ما هو رقم السير لالتقاط الحقائب؟,What is the baggage claim carousel number?,Where is the gate for Qatar Airways flights to Doha?,0.056950849982219685,0.2820025086402893,1.0,literal_mistranslation,fail
15,travel,DeepLUI,arabic,english,رحلتي تأخرت، كيف يمكنني إعادة حجزها على رحلة أخرى؟,My flight is delayed; how can I rebook it on another flight?,My flight was delayed. How can I rebook it on another flight?,0.5706745777055999,0.986175537109375,1.0,no_major_error,pass
16,travel,DeepLUI,arabic,english,هل يوجد قطار مباشر من المطار إلى وسط المدينة؟,Is there a direct train from the airport to the city center?,My flight was delayed. How can I rebook it on another flight?,0.0,0.25078248977661133,1.0,literal_mistranslation,fail
1,restaurant,iTranslateUI,arabic,english,أريد حجز طاولة لشخصين الساعة الثامنة مساءً.,I would like to reserve a table for two at 8 pm.,I want to book a table for two at 8:00 p.m.,0.34846944887433073,0.8958344459533691,1.0,other,fail
2,restaurant,iTranslateUI,arabic,english,هل يمكنني رؤية قائمة الطعام من فضلك؟,"May I see the menu, please?","Can I see the menu, please?",0.7598356856515925,0.974378228187561,1.0,no_major_error,pass
3,restaurant,iTranslateUI,arabic,english,أعاني من حساسية تجاه المكسرات، هل يوجد طبق خالٍ منها؟,I am allergic to nuts; is there a dish without them?,I'm allergic to nuts. Is there a plate free of it?,0.07340891551489552,0.9120291471481323,1.0,other,fail
4,restaurant,iTranslateUI,arabic,english,نود تقسيم الفاتورة بالتساوي بيننا.,We would like to split the bill evenly between us.,We want to divide the bill equally between us.,0.08852677586884013,0.9005870223045349,1.0,other,fail
5,academic,iTranslateUI,arabic,english,تشير هذه الدراسة إلى أن استخدام النماذج اللغوية يحسن جودة الترجمة الآلية.,This study indicates that using language models improves the quality of machine translation.,This study suggests that the use of language models improves the quality of automated translation.,0.38503228868787126,0.9592683911323547,1.0,other,fail
6,academic,iTranslateUI,arabic,english,تؤكد النتائج أهمية جمع بيانات متنوعة لتدريب الأنظمة الذكية.,The results emphasize the importance of collecting diverse data to train intelligent systems.,The results confirm the importance of collecting diverse data to train smart systems.,0.6262844962765468,0.9298397302627563,1.0,no_major_error,pass
7,academic,iTranslateUI,arabic,english,يهدف هذا البحث إلى تحليل تأثير الخوارزميات الحديثة على دقة التنبؤ.,This research aims to analyze the impact of modern algorithms on prediction accuracy.,This research aims to analyze the impact of modern algorithms on the accuracy of prediction.,0.7012055133086459,0.9924341440200806,1.0,no_major_error,pass
8,academic,iTranslateUI,arabic,english,تتطلب المنهجية المقترحة موارد حوسبة عالية لكنها توفر نتائج أكثر استقراراً.,The proposed methodology requires high computing resources but provides more stable results.,"The proposed methodology requires high computing resources, but it provides more stable results.",0.5923033072023249,0.9939413666725159,1.0,no_major_error,pass
9,poetry,iTranslateUI,arabic,english,يا ليلُ الصبُّ متى غده؟ أقيامُ الساعةِ موعدُه؟,"O night of the longing lover, when will his dawn come? Is the Day of Judgment his appointed time?",Casting night. When's tomorrow? Is the clock scheduled?,0.01800906331059221,0.49418213963508606,1.0,lost_cultural_meaning,fail
10,poetry,iTranslateUI,arabic,english,أحنّ إلى خبز أمي وقهوة أمي ولمسة أمي.,"I long for my mother's bread, my mother's coffee, and my mother's touch.","I'm to my mother's bread, my mother's coffee and my mother's touch.",0.48861031957034523,0.8758540153503418,1.0,other,fail
11,poetry,iTranslateUI,arabic,english,قلبي يحدثني بأنك متلفي، روحي فداك عرفت أم لم تعلمِ.,My heart tells me that you will ruin me; my soul is yours whether you know it or not.,,0.0,0.0,0.0,literal_mistranslation,fail
12,poetry,iTranslateUI,arabic,english,سافرت فيكِ ولم أبرح مكاني.,I traveled within you without ever leaving my place.,,0.0,0.0,0.0,literal_mistranslation,fail
13,travel,iTranslateUI,arabic,english,أين بوابة رحلة الخطوط القطرية المتجهة إلى الدوحة؟,Where is the gate for the Qatar Airways flight to Doha?,Where's the gateway to the country lines to Doha?,0.06019208559595749,0.8151163458824158,1.0,tone_mismatch,fail
14,travel,iTranslateUI,arabic,english,ما هو رقم السير لالتقاط الحقائب؟,What is the baggage claim carousel number?,What's the traffic number to pick up bags?,0.028599617161713803,0.5818523168563843,1.0,lost_cultural_meaning,fail
15,travel,iTranslateUI,arabic,english,رحلتي تأخرت، كيف يمكنني إعادة حجزها على رحلة أخرى؟,My flight is delayed; how can I rebook it on another flight?,My flight is late. How can I re-book her on another flight?,0.2022534349573476,0.7276393175125122,1.0,tone_mismatch,fail
16,travel,iTranslateUI,arabic,english,هل يوجد قطار مباشر من المطار إلى وسط المدينة؟,Is there a direct train from the airport to the city center?,Is there a direct train from the airport to the downtown?,0.8155395405382073,0.9818628430366516,1.0,no_major_error,pass
1,restaurant,ReversoContext,arabic,english,أريد حجز طاولة لشخصين الساعة الثامنة مساءً.,I would like to reserve a table for two at 8 pm.,I want to reserve a table for two at 8 pm.,0.7369231628533763,0.9921954870223999,1.0,no_major_error,pass
2,restaurant,ReversoContext,arabic,english,هل يمكنني رؤية قائمة الطعام من فضلك؟,"May I see the menu, please?",Can I see the menu please?,0.25119835939119545,0.9649112224578857,1.0,other,fail
3,restaurant,ReversoContext,arabic,english,أعاني من حساسية تجاه المكسرات، هل يوجد طبق خالٍ منها؟,I am allergic to nuts; is there a dish without them?,"I am allergic to nuts, is there a dish free of them?",0.4366835442847812,0.98069828748703,1.0,other,fail
4,restaurant,ReversoContext,arabic,english,نود تقسيم الفاتورة بالتساوي بيننا.,We would like to split the bill evenly between us.,We would like to divide the bill equally between us.,0.3549481056010053,0.929929792881012,1.0,other,fail
5,academic,ReversoContext,arabic,english,تشير هذه الدراسة إلى أن استخدام النماذج اللغوية يحسن جودة الترجمة الآلية.,This study indicates that using language models improves the quality of machine translation.,"Arabic
English",0.0,0.2241801619529724,1.0,literal_mistranslation,fail
6,academic,ReversoContext,arabic,english,تؤكد النتائج أهمية جمع بيانات متنوعة لتدريب الأنظمة الذكية.,The results emphasize the importance of collecting diverse data to train intelligent systems.,"Arabic
English",0.0,-0.05907367542386055,1.0,literal_mistranslation,fail
7,academic,ReversoContext,arabic,english,يهدف هذا البحث إلى تحليل تأثير الخوارزميات الحديثة على دقة التنبؤ.,This research aims to analyze the impact of modern algorithms on prediction accuracy.,"Arabic
English",0.0,-0.04539886862039566,1.0,literal_mistranslation,fail
8,academic,ReversoContext,arabic,english,تتطلب المنهجية المقترحة موارد حوسبة عالية لكنها توفر نتائج أكثر استقراراً.,The proposed methodology requires high computing resources but provides more stable results.,"Arabic
English",0.0,-0.07853497564792633,1.0,literal_mistranslation,fail
9,poetry,ReversoContext,arabic,english,يا ليلُ الصبُّ متى غده؟ أقيامُ الساعةِ موعدُه؟,"O night of the longing lover, when will his dawn come? Is the Day of Judgment his appointed time?","Oh, morning night, when is tomorrow? What is the time for the Hour to come?",0.017971618843870434,0.6044238805770874,1.0,lost_cultural_meaning,fail
10,poetry,ReversoContext,arabic,english,أحنّ إلى خبز أمي وقهوة أمي ولمسة أمي.,"I long for my mother's bread, my mother's coffee, and my mother's touch.","I long for my mother's bread, my mother's coffee, and my mother's touch.",1.0,0.9999999403953552,1.0,no_major_error,pass
11,poetry,ReversoContext,arabic,english,قلبي يحدثني بأنك متلفي، روحي فداك عرفت أم لم تعلمِ.,My heart tells me that you will ruin me; my soul is yours whether you know it or not.,"Arabic
English",0.0,0.09113980084657669,1.0,literal_mistranslation,fail
12,poetry,ReversoContext,arabic,english,سافرت فيكِ ولم أبرح مكاني.,I traveled within you without ever leaving my place.,I traveled with you and did not leave my place.,0.08516138411042476,0.830265998840332,1.0,tone_mismatch,fail
13,travel,ReversoContext,arabic,english,أين بوابة رحلة الخطوط القطرية المتجهة إلى الدوحة؟,Where is the gate for the Qatar Airways flight to Doha?,Where is the gateway for a Qatar Airways flight to Doha?,0.4832697830906221,0.9533448219299316,1.0,other,fail
14,travel,ReversoContext,arabic,english,ما هو رقم السير لالتقاط الحقائب؟,What is the baggage claim carousel number?,What is the traffic number for picking up bags?,0.1444977144915524,0.586841881275177,1.0,lost_cultural_meaning,fail
15,travel,ReversoContext,arabic,english,رحلتي تأخرت، كيف يمكنني إعادة حجزها على رحلة أخرى؟,My flight is delayed; how can I rebook it on another flight?,"My flight is delayed, how can I rebook it on another flight?",0.7348889200874658,0.9971387386322021,1.0,no_major_error,pass
16,travel,ReversoContext,arabic,english,هل يوجد قطار مباشر من المطار إلى وسط المدينة؟,Is there a direct train from the airport to the city center?,Is there a direct train from the airport to the city center?,1.0,0.9999998807907104,1.0,no_major_error,pass
